Date,Country/Region,Confirmed,Deaths,Recovered,Active Cases,Previous Confirmed,Previous Deaths,Previous Recovered,Previous Active,Prev2 Confirmed,Previous Week Confirmed,Population,Daily Confirmed,Daily Deaths,Daily Recovered,Daily Active,Previous Daily Confirmed,Weekly Confirmed
2020-01-22,China,548,17,0,531,,,,,,,1401870440,,,,,,
2020-01-22,Japan,2,0,0,2,,,,,,,126010000,,,,,,
2020-01-22,"Korea, South",1,0,0,1,,,,,,,51780579,,,,,,
2020-01-22,Taiwan*,1,0,0,1,,,,,,,23604265,,,,,,
2020-01-22,Thailand,2,0,0,2,,,,,,,66484342,,,,,,
2020-01-22,US,1,0,0,1,,,,,,,329493716,,,,,,
2020-01-23,China,643,18,0,625,548,17,0,531,,,1401870440,95,1,0,94,,
2020-01-23,Japan,2,0,0,2,2,0,0,2,,,126010000,0,0,0,0,,
2020-01-23,"Korea, South",1,0,0,1,1,0,0,1,,,51780579,0,0,0,0,,
2020-01-23,Singapore,1,0,0,1,,,,,,,5703600,,,,,,
2020-01-23,Taiwan*,1,0,0,1,1,0,0,1,,,23604265,0,0,0,0,,
2020-01-23,Thailand,3,0,0,3,2,0,0,2,,,66484342,1,0,0,1,,
2020-01-23,US,1,0,0,1,1,0,0,1,,,329493716,0,0,0,0,,
2020-01-23,Vietnam,2,0,0,2,,,,,,,96208984,,,,,,
2020-01-24,China,920,26,0,894,643,18,0,625,548,,1401870440,277,8,0,269,95,
2020-01-24,France,2,0,0,2,,,,,,,67069000,,,,,,
2020-01-24,Japan,2,0,0,2,2,0,0,2,2,,126010000,0,0,0,0,0,
2020-01-24,"Korea, South",2,0,0,2,1,0,0,1,1,,51780579,1,0,0,1,0,
2020-01-24,Singapore,3,0,0,3,1,0,0,1,,,5703600,2,0,0,2,,
2020-01-24,Taiwan*,3,0,0,3,1,0,0,1,1,,23604265,2,0,0,2,0,
2020-01-24,Thailand,5,0,0,5,3,0,0,3,2,,66484342,2,0,0,2,1,
2020-01-24,US,2,0,0,2,1,0,0,1,1,,329493716,1,0,0,1,0,
2020-01-24,Vietnam,2,0,0,2,2,0,0,2,,,96208984,0,0,0,0,,
2020-01-25,China,1406,42,0,1364,920,26,0,894,643,,1401870440,486,16,0,470,277,
2020-01-25,France,3,0,0,3,2,0,0,2,,,67069000,1,0,0,1,,
2020-01-25,Japan,2,0,0,2,2,0,0,2,2,,126010000,0,0,0,0,0,
2020-01-25,"Korea, South",2,0,0,2,2,0,0,2,1,,51780579,0,0,0,0,1,
